                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 1.3059,                 1.9082,                 1.3664,                0.32361,                0.23748,                0.20307,                0.14481,                  1.379,                 2.5056,                 1.4351,              0.0090496,              0.0090496,              0.0090496
                     99,                 1.3016,                 1.9363,                 1.3724,                  0.321,                0.23453,                0.20312,                0.14252,                 1.3757,                 2.4976,                 1.4281,              0.0090397,              0.0090397,              0.0090397
                    100,                 1.3111,                  1.923,                 1.3792,                0.35252,                0.23128,                0.21178,                 0.1493,                 1.3712,                  2.475,                 1.4282,              0.0090298,              0.0090298,              0.0090298
                    101,                 1.3134,                 1.9102,                 1.3761,                0.35966,                0.23154,                0.21118,                0.14696,                 1.3641,                 2.4737,                 1.4185,              0.0090199,              0.0090199,              0.0090199
                    102,                 1.3073,                 1.9132,                 1.3661,                0.34534,                0.22767,                0.20967,                0.14884,                 1.3717,                 2.4768,                 1.4252,                0.00901,                0.00901,                0.00901
                    103,                 1.3017,                 1.8728,                 1.3732,                  0.336,                0.24703,                0.20826,                 0.1469,                 1.3677,                 2.4831,                 1.4297,              0.0090001,              0.0090001,              0.0090001
                    104,                 1.2977,                 1.8741,                 1.3761,                0.38102,                0.22454,                0.21387,                0.15234,                 1.3674,                 2.4843,                 1.4281,              0.0089902,              0.0089902,              0.0089902
                    105,                 1.2974,                 1.8848,                 1.3638,                0.37364,                0.23165,                0.21383,                0.15214,                 1.3717,                 2.4969,                 1.4247,              0.0089803,              0.0089803,              0.0089803
                    106,                 1.3152,                 1.8506,                 1.3718,                0.34474,                0.24869,                0.21879,                0.15547,                 1.3654,                 2.4782,                 1.4217,              0.0089704,              0.0089704,              0.0089704
                    107,                 1.2845,                 1.8262,                 1.3496,                0.33898,                0.26098,                0.22181,                0.15762,                 1.3621,                 2.4697,                 1.4158,              0.0089605,              0.0089605,              0.0089605
                    108,                 1.2924,                 1.8241,                 1.3607,                0.35273,                0.24847,                0.22048,                0.15858,                 1.3646,                 2.4788,                 1.4187,              0.0089506,              0.0089506,              0.0089506
                    109,                 1.2839,                 1.8201,                 1.3561,                0.37701,                0.24682,                0.23104,                0.16517,                 1.3565,                 2.4574,                 1.4147,              0.0089407,              0.0089407,              0.0089407
                    110,                 1.2856,                 1.7948,                 1.3539,                0.37511,                0.24173,                0.22085,                0.15684,                 1.3635,                 2.4648,                 1.4217,              0.0089308,              0.0089308,              0.0089308
                    111,                 1.2782,                 1.7777,                 1.3394,                0.32451,                0.25743,                0.22483,                0.16223,                 1.3651,                 2.4622,                 1.4203,              0.0089209,              0.0089209,              0.0089209
                    112,                 1.2807,                 1.7697,                 1.3457,                0.35643,                0.25905,                 0.2318,                 0.1651,                 1.3582,                  2.442,                 1.4172,               0.008911,               0.008911,               0.008911
                    113,                 1.2907,                 1.7897,                 1.3574,                0.35761,                0.25949,                 0.2312,                0.16436,                 1.3657,                 2.4481,                 1.4157,              0.0089011,              0.0089011,              0.0089011
                    114,                  1.302,                 1.7494,                 1.3495,                0.38314,                0.24176,                0.22605,                0.16189,                 1.3608,                 2.4618,                 1.4158,              0.0088912,              0.0088912,              0.0088912
                    115,                 1.2667,                 1.7337,                 1.3406,                0.35215,                0.25853,                0.23024,                0.16499,                  1.358,                 2.4428,                 1.4115,              0.0088813,              0.0088813,              0.0088813
                    116,                 1.2771,                 1.7318,                 1.3421,                0.37014,                0.25559,                0.23205,                 0.1661,                 1.3531,                 2.4605,                 1.4113,              0.0088714,              0.0088714,              0.0088714
                    117,                 1.2744,                 1.7409,                 1.3502,                0.36821,                0.26741,                0.23967,                0.17085,                 1.3558,                 2.4355,                 1.4109,              0.0088615,              0.0088615,              0.0088615
                    118,                  1.256,                 1.6889,                 1.3309,                0.38385,                0.25765,                 0.2415,                0.17015,                 1.3557,                 2.4373,                 1.4081,              0.0088516,              0.0088516,              0.0088516
                    119,                 1.2842,                 1.7078,                 1.3368,                0.38743,                0.25492,                0.23939,                0.17006,                 1.3513,                 2.4402,                 1.4016,              0.0088417,              0.0088417,              0.0088417
                    120,                 1.2605,                 1.6875,                 1.3317,                0.39037,                0.25948,                0.24223,                0.17149,                 1.3574,                 2.4327,                 1.4105,              0.0088318,              0.0088318,              0.0088318
                    121,                 1.2651,                 1.6781,                  1.331,                 0.4026,                0.25318,                0.24076,                0.17139,                 1.3495,                 2.4392,                 1.4026,              0.0088219,              0.0088219,              0.0088219
                    122,                 1.2708,                 1.6923,                 1.3267,                0.40285,                0.26016,                0.24796,                0.17644,                 1.3557,                 2.4212,                 1.4033,               0.008812,               0.008812,               0.008812
                    123,                 1.2703,                 1.6636,                 1.3327,                0.41642,                0.26016,                0.25069,                0.17875,                 1.3512,                 2.4242,                 1.3974,              0.0088021,              0.0088021,              0.0088021
                    124,                 1.2742,                 1.6796,                 1.3311,                 0.4045,                0.26089,                 0.2493,                0.17873,                 1.3502,                 2.4442,                 1.3977,              0.0087922,              0.0087922,              0.0087922
                    125,                 1.2604,                  1.648,                 1.3184,                0.42872,                0.26149,                0.25166,                0.17943,                 1.3421,                 2.4462,                 1.3944,              0.0087823,              0.0087823,              0.0087823
                    126,                  1.243,                 1.6319,                 1.3156,                0.39907,                0.27152,                  0.254,                0.18283,                 1.3409,                 2.4313,                 1.3926,              0.0087724,              0.0087724,              0.0087724
                    127,                 1.2402,                 1.6219,                 1.3082,                0.40584,                0.27018,                0.25662,                0.18553,                 1.3408,                 2.4117,                 1.3936,              0.0087625,              0.0087625,              0.0087625
                    128,                 1.2527,                 1.6138,                 1.3129,                0.42185,                0.26636,                0.25752,                0.18469,                 1.3398,                 2.4185,                 1.3992,              0.0087526,              0.0087526,              0.0087526
                    129,                  1.261,                 1.6244,                 1.3171,                0.43801,                0.26398,                 0.2621,                0.18546,                 1.3441,                 2.4097,                  1.394,              0.0087427,              0.0087427,              0.0087427
                    130,                  1.237,                 1.6005,                 1.3123,                 0.4269,                0.26818,                0.26281,                 0.1858,                 1.3399,                 2.4059,                 1.3973,              0.0087328,              0.0087328,              0.0087328
                    131,                 1.2518,                 1.6254,                 1.3162,                0.42967,                  0.273,                0.26185,                0.18563,                 1.3414,                 2.4135,                 1.3966,              0.0087229,              0.0087229,              0.0087229
                    132,                 1.2361,                 1.5733,                 1.3141,                0.43352,                0.26568,                0.25951,                0.18504,                 1.3375,                 2.4098,                 1.3933,               0.008713,               0.008713,               0.008713
                    133,                 1.2492,                 1.5604,                 1.3014,                 0.4812,                0.26475,                0.26518,                0.18928,                 1.3385,                 2.4182,                 1.3924,              0.0087031,              0.0087031,              0.0087031
