                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.4574,                 2.4251,                 1.4383,                0.14645,                0.17664,                0.09924,                0.06542,                  1.418,                 2.5293,                 1.4296,              0.0092476,              0.0092476,              0.0092476
                     79,                 1.4698,                 2.4387,                 1.4428,                0.19831,                0.18027,                    0.1,                0.06516,                 1.4214,                 2.5135,                 1.4318,              0.0092377,              0.0092377,              0.0092377
                     80,                 1.4716,                 2.4434,                 1.4488,                0.16721,                0.17576,                 0.1037,                0.06585,                 1.4168,                 2.5285,                 1.4274,              0.0092278,              0.0092278,              0.0092278
                     81,                 1.4743,                 2.4334,                  1.442,                0.15552,                0.17261,                0.10383,                0.06712,                 1.4188,                 2.4992,                 1.4395,              0.0092179,              0.0092179,              0.0092179
                     82,                 1.4405,                 2.3823,                 1.4404,                0.16461,                0.17527,                0.10375,                0.06692,                 1.4033,                 2.4953,                 1.4244,               0.009208,               0.009208,               0.009208
                     83,                 1.4742,                  2.427,                 1.4489,                0.16051,                0.18217,                0.10518,                0.06823,                 1.4049,                 2.4779,                 1.4171,              0.0091981,              0.0091981,              0.0091981
                     84,                 1.4479,                 2.3815,                   1.44,                0.17053,                0.16459,                0.10113,                0.06375,                 1.4046,                 2.4898,                 1.4225,              0.0091882,              0.0091882,              0.0091882
                     85,                 1.4583,                 2.3906,                 1.4409,                0.15491,                0.18626,                 0.1084,                0.07098,                  1.404,                 2.4989,                 1.4226,              0.0091783,              0.0091783,              0.0091783
                     86,                 1.4482,                 2.3639,                  1.425,                0.19236,                0.16201,                0.10789,                0.06962,                 1.4098,                 2.5069,                 1.4265,              0.0091684,              0.0091684,              0.0091684
                     87,                 1.4636,                 2.4034,                 1.4379,                0.15582,                0.18286,                 0.1065,                0.06945,                 1.4035,                 2.4853,                 1.4201,              0.0091585,              0.0091585,              0.0091585
                     88,                 1.4425,                 2.3578,                 1.4249,                0.22415,                0.18127,                0.11162,                0.07235,                 1.4015,                 2.4811,                 1.4234,              0.0091486,              0.0091486,              0.0091486
                     89,                 1.4466,                 2.3695,                 1.4333,                0.17043,                0.17745,                0.11357,                 0.0732,                 1.4106,                 2.4558,                 1.4337,              0.0091387,              0.0091387,              0.0091387
                     90,                 1.4585,                 2.3496,                 1.4342,                0.15904,                0.17994,                0.11112,                0.07246,                 1.4109,                 2.4783,                 1.4241,              0.0091288,              0.0091288,              0.0091288
                     91,                   1.45,                 2.3729,                 1.4402,                0.14897,                0.18372,                0.10842,                0.07014,                 1.4025,                  2.488,                 1.4214,              0.0091189,              0.0091189,              0.0091189
                     92,                 1.4357,                 2.3649,                 1.4278,                0.17848,                0.18799,                0.11266,                0.07298,                 1.3979,                  2.473,                 1.4178,               0.009109,               0.009109,               0.009109
                     93,                 1.4369,                 2.3412,                 1.4215,                0.16535,                0.19467,                0.11304,                0.07443,                  1.395,                 2.4597,                 1.4136,              0.0090991,              0.0090991,              0.0090991
                     94,                  1.436,                 2.3465,                 1.4317,                0.22962,                0.18627,                0.11339,                0.07394,                  1.394,                 2.4632,                  1.411,              0.0090892,              0.0090892,              0.0090892
                     95,                 1.4404,                 2.3364,                 1.4247,                0.26043,                0.17473,                0.11739,                0.07585,                 1.3916,                 2.4338,                  1.405,              0.0090793,              0.0090793,              0.0090793
                     96,                 1.4286,                 2.3121,                 1.4141,                0.16611,                0.20114,                 0.1149,                0.07428,                 1.4029,                 2.4669,                 1.4153,              0.0090694,              0.0090694,              0.0090694
                     97,                 1.4385,                 2.3212,                 1.4183,                0.16578,                0.20111,                0.11688,                0.07537,                 1.4025,                 2.4524,                 1.4139,              0.0090595,              0.0090595,              0.0090595
                     98,                 1.4266,                 2.2848,                 1.4019,                0.16285,                0.19372,                0.11511,                0.07396,                 1.4104,                 2.4589,                 1.4163,              0.0090496,              0.0090496,              0.0090496
                     99,                 1.4286,                 2.3077,                 1.4125,                0.17873,                0.19205,                0.11631,                 0.0764,                 1.3973,                 2.4532,                 1.4036,              0.0090397,              0.0090397,              0.0090397
                    100,                 1.4311,                  2.311,                 1.4168,                0.23759,                0.19484,                0.11802,                0.07751,                 1.3945,                 2.4505,                 1.4054,              0.0090298,              0.0090298,              0.0090298
                    101,                 1.4425,                 2.3055,                 1.4133,                0.24745,                0.18407,                0.12121,                0.07786,                 1.3931,                 2.4445,                 1.4055,              0.0090199,              0.0090199,              0.0090199
                    102,                 1.4258,                 2.3268,                 1.4013,                0.24984,                0.17722,                0.12121,                 0.0793,                  1.392,                 2.4321,                 1.4053,                0.00901,                0.00901,                0.00901
                    103,                 1.4236,                 2.2781,                  1.416,                0.26381,                0.18372,                 0.1263,                0.08364,                 1.3892,                 2.4376,                 1.4072,              0.0090001,              0.0090001,              0.0090001
                    104,                  1.422,                 2.2981,                 1.4053,                0.24192,                0.18975,                0.12802,                0.08423,                 1.3828,                 2.4222,                 1.4015,              0.0089902,              0.0089902,              0.0089902
                    105,                 1.4236,                 2.2848,                 1.4107,                0.18491,                0.19521,                0.12485,                0.08223,                 1.3855,                 2.4088,                 1.4059,              0.0089803,              0.0089803,              0.0089803
                    106,                 1.4449,                 2.2843,                 1.4161,                0.20181,                0.18154,                0.12823,                0.08396,                 1.3863,                 2.4133,                 1.3978,              0.0089704,              0.0089704,              0.0089704
                    107,                 1.4201,                 2.2727,                 1.3921,                0.20039,                0.19119,                0.12977,                0.08516,                 1.3907,                 2.4205,                 1.4008,              0.0089605,              0.0089605,              0.0089605
                    108,                  1.429,                 2.2631,                 1.4099,                0.20839,                0.19127,                0.13139,                 0.0867,                  1.398,                 2.4232,                 1.4084,              0.0089506,              0.0089506,              0.0089506
                    109,                 1.4252,                 2.2587,                 1.4078,                0.20326,                0.19565,                0.13012,                 0.0865,                 1.3864,                 2.4095,                 1.4005,              0.0089407,              0.0089407,              0.0089407
                    110,                 1.4107,                 2.2591,                 1.3947,                0.24859,                0.20017,                0.13056,                0.08677,                 1.3849,                 2.3932,                 1.3983,              0.0089308,              0.0089308,              0.0089308
                    111,                 1.4163,                 2.2488,                 1.3846,                0.23656,                0.19945,                0.12925,                0.08571,                 1.3909,                 2.4198,                 1.4032,              0.0089209,              0.0089209,              0.0089209
                    112,                 1.4113,                 2.2343,                 1.3892,                0.26029,                0.19766,                0.13184,                0.08834,                 1.3836,                  2.418,                 1.3955,               0.008911,               0.008911,               0.008911
                    113,                 1.4189,                 2.2455,                 1.4002,                 0.2047,                 0.1932,                0.13426,                0.08918,                 1.3904,                 2.4197,                 1.3986,              0.0089011,              0.0089011,              0.0089011
                    114,                 1.4324,                 2.2172,                 1.3921,                0.26069,                   0.19,                0.13415,                0.08876,                  1.388,                 2.4117,                 1.4014,              0.0088912,              0.0088912,              0.0088912
                    115,                 1.4082,                 2.1936,                 1.3842,                0.22948,                0.19018,                0.13528,                0.09129,                 1.3895,                 2.4187,                 1.3971,              0.0088813,              0.0088813,              0.0088813
                    116,                 1.4089,                  2.214,                 1.3823,                0.22076,                0.19192,                0.13478,                0.09022,                 1.3775,                 2.4002,                 1.3866,              0.0088714,              0.0088714,              0.0088714
